model_a,model_b,n_shared_samples,mean_a ± std,mean_b ± std,raw_p_value,adjusted_alpha,significant_after_correction
Informer_5V_3L,LCM_5V_3L_CI,1420,0.8681 ± 0.0854,0.9146 ± 0.1122,8.561871516927775e-64,0.0033333333333333335,True
Informer_5V_3L,LCM_5V_3L_CI_CR_1.0,1420,0.8681 ± 0.0854,0.9249 ± 0.1246,5.858733988805401e-89,0.0033333333333333335,True
Informer_5V_3L,LCM_5V_3L_CI_CR_0.25,1420,0.8681 ± 0.0854,0.9262 ± 0.1268,2.9134144649034745e-89,0.0033333333333333335,True
Informer_5V_3L,LCM_5V_3L_CI_CR_0.5,1420,0.8681 ± 0.0854,0.9181 ± 0.1382,1.0482719679807562e-71,0.0033333333333333335,True
Informer_5V_3L,LCM_5V_3L_CI_CR_0.75,1420,0.8681 ± 0.0854,0.9263 ± 0.1256,2.999961900616588e-88,0.0033333333333333335,True
LCM_5V_3L_CI,LCM_5V_3L_CI_CR_1.0,1420,0.9146 ± 0.1122,0.9249 ± 0.1246,7.786547739037022e-18,0.0033333333333333335,True
LCM_5V_3L_CI,LCM_5V_3L_CI_CR_0.25,1420,0.9146 ± 0.1122,0.9262 ± 0.1268,1.2880094125474599e-20,0.0033333333333333335,True
LCM_5V_3L_CI,LCM_5V_3L_CI_CR_0.5,1420,0.9146 ± 0.1122,0.9181 ± 0.1382,5.710769034676303e-17,0.0033333333333333335,True
LCM_5V_3L_CI,LCM_5V_3L_CI_CR_0.75,1420,0.9146 ± 0.1122,0.9263 ± 0.1256,1.802673428189824e-17,0.0033333333333333335,True
LCM_5V_3L_CI_CR_1.0,LCM_5V_3L_CI_CR_0.25,1420,0.9249 ± 0.1246,0.9262 ± 0.1268,0.21341080183134042,0.0033333333333333335,False
LCM_5V_3L_CI_CR_1.0,LCM_5V_3L_CI_CR_0.5,1420,0.9249 ± 0.1246,0.9181 ± 0.1382,0.019540775636091776,0.0033333333333333335,False
LCM_5V_3L_CI_CR_1.0,LCM_5V_3L_CI_CR_0.75,1420,0.9249 ± 0.1246,0.9263 ± 0.1256,0.9508309367665746,0.0033333333333333335,False
LCM_5V_3L_CI_CR_0.25,LCM_5V_3L_CI_CR_0.5,1420,0.9262 ± 0.1268,0.9181 ± 0.1382,1.9331323024545743e-05,0.0033333333333333335,True
LCM_5V_3L_CI_CR_0.25,LCM_5V_3L_CI_CR_0.75,1420,0.9262 ± 0.1268,0.9263 ± 0.1256,0.33295979995393077,0.0033333333333333335,False
LCM_5V_3L_CI_CR_0.5,LCM_5V_3L_CI_CR_0.75,1420,0.9181 ± 0.1382,0.9263 ± 0.1256,0.010580287686609346,0.0033333333333333335,False
